universitySlug,nameFa,iscCategory,iscRank,auditDate,portalAuditStatus,researchUrl,evidenceUrls,note,scoreEligibility
meybod,دانشگاه میبد,جامع,50,2026-08-11,official-channel-reference,,https://t.me/s/meyboduni_official/4036 | http://new.meybod.ac.ir/fa/article/294984,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. در ممیزی سیستماتیک شواهدی از حوزه پژوهش/فناوری یافت شد، اما برای ادعای ساختار کامل یا رتبه عددی هنوز Evidence مستقیم کافی نیست.,unranked
bozorgmehr-qaenat,دانشگاه بزرگمهر قائنات,جامع,51,2026-08-11,secondary-reference,,,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. سرنخ عمومی/ثانویه از فعالیت پژوهش و فناوری مشاهده شد؛ تا جایگزینی با منبع رسمی مستقیم، Fact سازمانی یا رتبه منتشر نمی‌شود.,unranked
chabahar-maritime,دانشگاه دریانوردی و علوم دریایی چابهار,جامع,51,2026-08-11,credible-secondary-reference,,,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. در ممیزی سیستماتیک شواهدی از حوزه پژوهش/فناوری یافت شد، اما برای ادعای ساختار کامل یا رتبه عددی هنوز Evidence مستقیم کافی نیست.,unranked
velayat,دانشگاه ولایت,جامع,53,2026-08-11,secondary-reference,,,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. سرنخ عمومی/ثانویه از فعالیت پژوهش و فناوری مشاهده شد؛ تا جایگزینی با منبع رسمی مستقیم، Fact سازمانی یا رتبه منتشر نمی‌شود.,unranked
amol-special-tech,دانشگاه تخصصی فناوری های نوین آمل,جامع,54,2026-08-11,official-channel-reference,,https://t.me/s/amoluniv | https://ausmt.ac.ir/forms,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. در ممیزی سیستماتیک شواهدی از حوزه پژوهش/فناوری یافت شد، اما برای ادعای ساختار کامل یا رتبه عددی هنوز Evidence مستقیم کافی نیست.,unranked
malayer,دانشگاه ملایر,جامع,55,2026-08-11,official-domain-reference,,https://malayeru.ac.ir/portal/home/?news/32484/116202/279690/,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. در ممیزی سیستماتیک شواهدی از حوزه پژوهش/فناوری یافت شد، اما برای ادعای ساختار کامل یا رتبه عددی هنوز Evidence مستقیم کافی نیست.,unranked
gonbad-kavous,دانشگاه گنبد کاووس,جامع,56,2026-08-11,official-channel-reference,,,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. در ممیزی سیستماتیک شواهدی از حوزه پژوهش/فناوری یافت شد، اما برای ادعای ساختار کامل یا رتبه عددی هنوز Evidence مستقیم کافی نیست.,unranked
torbat-heydarieh,دانشگاه تربت حیدریه,جامع,57,2026-08-11,secondary-reference,,,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. سرنخ عمومی/ثانویه از فعالیت پژوهش و فناوری مشاهده شد؛ تا جایگزینی با منبع رسمی مستقیم، Fact سازمانی یا رتبه منتشر نمی‌شود.,unranked
hazrat-masoumeh,دانشگاه حضرت معصومه (س),جامع,58,2026-08-11,secondary-reference,,,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. سرنخ عمومی/ثانویه از فعالیت پژوهش و فناوری مشاهده شد؛ تا جایگزینی با منبع رسمی مستقیم، Fact سازمانی یا رتبه منتشر نمی‌شود.,unranked
jahrom,دانشگاه جهرم,جامع,59,2026-08-11,secondary-reference,,,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. سرنخ عمومی/ثانویه از فعالیت پژوهش و فناوری مشاهده شد؛ تا جایگزینی با منبع رسمی مستقیم، Fact سازمانی یا رتبه منتشر نمی‌شود.,unranked
kosar,دانشگاه کوثر,جامع,60,2026-08-11,secondary-reference,,,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. سرنخ عمومی/ثانویه از فعالیت پژوهش و فناوری مشاهده شد؛ تا جایگزینی با منبع رسمی مستقیم، Fact سازمانی یا رتبه منتشر نمی‌شود.,unranked
jiroft,دانشگاه جیرفت,جامع,61,2026-08-11,secondary-reference,,https://research.ujiroft.ac.ir/_Pages/Departments/Default.aspx,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. سرنخ عمومی/ثانویه از فعالیت پژوهش و فناوری مشاهده شد؛ تا جایگزینی با منبع رسمی مستقیم، Fact سازمانی یا رتبه منتشر نمی‌شود.,unranked
salman-farsi-kazerun,دانشگاه سلمان فارسی کازرون,جامع,62,2026-08-11,secondary-reference,,,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. سرنخ عمومی/ثانویه از فعالیت پژوهش و فناوری مشاهده شد؛ تا جایگزینی با منبع رسمی مستقیم، Fact سازمانی یا رتبه منتشر نمی‌شود.,unranked
lar-higher-ed,مرکز آموزش عالی لار,جامع,62,2026-08-11,secondary-reference,,,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. سرنخ عمومی/ثانویه از فعالیت پژوهش و فناوری مشاهده شد؛ تا جایگزینی با منبع رسمی مستقیم، Fact سازمانی یا رتبه منتشر نمی‌شود.,unranked
gonabad-higher-ed,مجتمع آموزش عالی گناباد,جامع,64,2026-08-11,institutional-reference,,https://gonabad.ac.ir/,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. در ممیزی سیستماتیک شواهدی از حوزه پژوهش/فناوری یافت شد، اما برای ادعای ساختار کامل یا رتبه عددی هنوز Evidence مستقیم کافی نیست.,unranked
bam-higher-ed,مجتمع آموزش عالی بم,جامع,65,2026-08-11,secondary-reference,,,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. سرنخ عمومی/ثانویه از فعالیت پژوهش و فناوری مشاهده شد؛ تا جایگزینی با منبع رسمی مستقیم، Fact سازمانی یا رتبه منتشر نمی‌شود.,unranked
neyshabur,دانشگاه نیشابور,جامع,66,2026-08-11,false-positive-blocked,,,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. نتایج شاخص جست‌وجو به نهاد همنام دیگری (آزاد/پزشکی/واحد نامرتبط) مربوط بود؛ false-positive مسدود شد و نبود پرتال نتیجه‌گیری نمی‌شود.,unranked
eghlid-higher-ed,مرکز آموزش عالی اقلید,جامع,67,2026-08-11,secondary-reference,,,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. سرنخ عمومی/ثانویه از فعالیت پژوهش و فناوری مشاهده شد؛ تا جایگزینی با منبع رسمی مستقیم، Fact سازمانی یا رتبه منتشر نمی‌شود.,unranked
kashmar-higher-ed,مرکز آموزش عالی کاشمر,جامع,68,2026-08-11,secondary-reference,,,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. سرنخ عمومی/ثانویه از فعالیت پژوهش و فناوری مشاهده شد؛ تا جایگزینی با منبع رسمی مستقیم، Fact سازمانی یا رتبه منتشر نمی‌شود.,unranked
seyed-jamaleddin-asadabadi,دانشگاه سید جمال الدین اسدآبادی,جامع,68,2026-08-11,secondary-reference,,,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. سرنخ عمومی/ثانویه از فعالیت پژوهش و فناوری مشاهده شد؛ تا جایگزینی با منبع رسمی مستقیم، Fact سازمانی یا رتبه منتشر نمی‌شود.,unranked
iust,دانشگاه علم و صنعت ایران,صنعتی,1,2026-08-11,direct-official,https://research.iust.ac.ir/,https://research.iust.ac.ir/ | https://www.iust.ac.ir/files/res_office/pages/dastore_ghotb.pdf,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,eligible
sharif,دانشگاه صنعتی شریف,صنعتی,2,2026-08-11,direct-official,https://research.sharif.ir/,https://research.sharif.ir/,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,eligible
amirkabir,دانشگاه صنعتی امیرکبیر,صنعتی,3,2026-08-11,direct-official,https://research.aut.ac.ir/,https://research.aut.ac.ir/,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,eligible
kntu,دانشگاه صنعتی خواجه نصیرالدین طوسی,صنعتی,4,2026-08-11,direct-official,https://research.kntu.ac.ir/,https://research.kntu.ac.ir/ | https://kntu.ac.ir/dorsapax/userfiles/file/Pajohesh/karnameh1392.pdf,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,eligible
isfahan-technology,دانشگاه صنعتی اصفهان,صنعتی,5,2026-08-11,direct-official,https://research.iut.ac.ir/,https://research.iut.ac.ir/ | https://research.iut.ac.ir/fa/dgr/1770,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,eligible
shahrood-technology,دانشگاه صنعتی شاهرود,صنعتی,6,2026-08-11,direct-official,https://www.shahroodut.ac.ir/fa/sec/index.php?id=11,https://t.me/s/shahroudUNI | https://t.me/s/Research_SUT | https://shahroodut.ac.ir/ | https://www.shahroodut.ac.ir/fa/sec/index.php?id=11 | https://www.shahroodut.ac.ir/fa/sec/index.php?id=6&index=257,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,unranked
babol-noshirvani,دانشگاه صنعتی نوشیروانی بابل,صنعتی,7,2026-08-11,direct-official,https://research.nit.ac.ir/,https://t.me/s/profnoshiravani | https://research.nit.ac.ir/ | https://edu.nit.ac.ir/file/download/regulation/657051cde5f4e-1402.pdf,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,unranked
sahand,دانشگاه صنعتی سهند,صنعتی,8,2026-08-11,direct-official,https://sut.ac.ir/research/fa/,http://sut.ac.ir/main/ShowArticle.aspx?artid=2039 | https://sut.ac.ir/research/fa/,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,unranked
shiraz-technology,دانشگاه صنعتی شیراز,صنعتی,9,2026-08-11,institutional-reference,,https://sutech.ac.ir/,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. در ممیزی سیستماتیک شواهدی از حوزه پژوهش/فناوری یافت شد، اما برای ادعای ساختار کامل یا رتبه عددی هنوز Evidence مستقیم کافی نیست.,unranked
kgut,دانشگاه تحصیلات تکمیلی صنعتی و فناوری پیشرفته کرمان,صنعتی,10,2026-08-11,secondary-reference,,,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. سرنخ عمومی/ثانویه از فعالیت پژوهش و فناوری مشاهده شد؛ تا جایگزینی با منبع رسمی مستقیم، Fact سازمانی یا رتبه منتشر نمی‌شود.,unranked
urmia-technology,دانشگاه صنعتی ارومیه,صنعتی,11,2026-08-11,secondary-reference,,,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. سرنخ عمومی/ثانویه از فعالیت پژوهش و فناوری مشاهده شد؛ تا جایگزینی با منبع رسمی مستقیم، Fact سازمانی یا رتبه منتشر نمی‌شود.,unranked
qochan-technology,دانشگاه صنعتی قوچان,صنعتی,12,2026-08-11,direct-official,https://research.qiet.ac.ir/,https://research.qiet.ac.ir/,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,unranked
arak-technology,دانشگاه صنعتی اراک,صنعتی,13,2026-08-11,official-channel-reference,,https://t.me/s/ArakutOfficial,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. در ممیزی سیستماتیک شواهدی از حوزه پژوهش/فناوری یافت شد، اما برای ادعای ساختار کامل یا رتبه عددی هنوز Evidence مستقیم کافی نیست.,unranked
kermanshah-technology,دانشگاه صنعتی کرمانشاه,صنعتی,14,2026-08-11,direct-official,https://research.kut.ac.ir/,https://research.kut.ac.ir/ | https://research.kut.ac.ir/_Pages/Regulations/Default.aspx,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,unranked
qom-technology,دانشگاه صنعتی قم,صنعتی,15,2026-08-11,direct-official,https://qut.ac.ir/fa/researches/index,https://qut.ac.ir/fa/researches/index,پرتال رسمی پژوهش و فناوری و مسیرهای قابل بازیابی آن در باز‌ممیزی ۲۰ مرداد ۱۴۰۵ ثبت شد؛ هر بُعد با شاهد اختصاصی خودش منتشر می‌شود.,eligible
jundi-shapur-dezful,دانشگاه صنعتی جندی شاپور دزفول,صنعتی,16,2026-08-11,official-channel-reference,,https://t.me/s/jsu_ir,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. در ممیزی سیستماتیک شواهدی از حوزه پژوهش/فناوری یافت شد، اما برای ادعای ساختار کامل یا رتبه عددی هنوز Evidence مستقیم کافی نیست.,unranked
hamedan-technology,دانشگاه صنعتی همدان,صنعتی,17,2026-08-11,secondary-reference,,,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. سرنخ عمومی/ثانویه از فعالیت پژوهش و فناوری مشاهده شد؛ تا جایگزینی با منبع رسمی مستقیم، Fact سازمانی یا رتبه منتشر نمی‌شود.,unranked
khatam-behbahan,دانشگاه صنعتی خاتم الانبیاء بهبهان,صنعتی,17,2026-08-11,false-positive-blocked,,,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. نتایج شاخص جست‌وجو به نهاد همنام دیگری (آزاد/پزشکی/واحد نامرتبط) مربوط بود؛ false-positive مسدود شد و نبود پرتال نتیجه‌گیری نمی‌شود.,unranked
sirjan-technology,دانشگاه صنعتی سیرجان,صنعتی,19,2026-08-11,secondary-reference,,,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. سرنخ عمومی/ثانویه از فعالیت پژوهش و فناوری مشاهده شد؛ تا جایگزینی با منبع رسمی مستقیم، Fact سازمانی یا رتبه منتشر نمی‌شود.,unranked
mazandaran-science-tech,دانشگاه علم و فناوری مازندران (بهشهر),صنعتی,20,2026-08-11,secondary-reference,,,بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. بازممیزی پرتال و اسناد در ۲۰ مرداد ۱۴۰۵ انجام شد. سرنخ عمومی/ثانویه از فعالیت پژوهش و فناوری مشاهده شد؛ تا جایگزینی با منبع رسمی مستقیم، Fact سازمانی یا رتبه منتشر نمی‌شود.,unranked
