id,universitySlug,nameFa,iscCategory,iscRank,dimension,status,reportedStatus,publicationAdjustment,reviewOutcome,reviewedAt,sourceCount,sourceKinds,sourceUrls,verificationBasis,missingDataRule
ilam:industryTechnology,ilam,دانشگاه ایلام,جامع,30,industryTechnology,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
ilam:informationTechnology,ilam,دانشگاه ایلام,جامع,30,informationTechnology,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
ilam:systemsServices,ilam,دانشگاه ایلام,جامع,30,systemsServices,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
ilam:documentsRegulations,ilam,دانشگاه ایلام,جامع,30,documentsRegulations,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
hakim-sabzevari:portalIdentity,hakim-sabzevari,دانشگاه حکیم سبزواری,جامع,31,portalIdentity,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,1,portal-identity,https://t.me/hakimUniversity,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
hakim-sabzevari:organization,hakim-sabzevari,دانشگاه حکیم سبزواری,جامع,31,organization,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
hakim-sabzevari:libraryDocuments,hakim-sabzevari,دانشگاه حکیم سبزواری,جامع,31,libraryDocuments,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
hakim-sabzevari:laboratories,hakim-sabzevari,دانشگاه حکیم سبزواری,جامع,31,laboratories,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
hakim-sabzevari:industryTechnology,hakim-sabzevari,دانشگاه حکیم سبزواری,جامع,31,industryTechnology,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
hakim-sabzevari:informationTechnology,hakim-sabzevari,دانشگاه حکیم سبزواری,جامع,31,informationTechnology,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
hakim-sabzevari:systemsServices,hakim-sabzevari,دانشگاه حکیم سبزواری,جامع,31,systemsServices,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
hakim-sabzevari:documentsRegulations,hakim-sabzevari,دانشگاه حکیم سبزواری,جامع,31,documentsRegulations,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
arak:portalIdentity,arak,دانشگاه اراک,جامع,32,portalIdentity,verified,verified,,evidence-confirmed,2026-08-10,1,portal-identity,https://research.araku.ac.ir/,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
arak:organization,arak,دانشگاه اراک,جامع,32,organization,verified,verified,,evidence-confirmed,2026-08-10,1,unit,https://research.araku.ac.ir/,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
arak:libraryDocuments,arak,دانشگاه اراک,جامع,32,libraryDocuments,verified,verified,,evidence-confirmed,2026-08-10,1,unit,https://research.araku.ac.ir/,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
arak:laboratories,arak,دانشگاه اراک,جامع,32,laboratories,verified,verified,,evidence-confirmed,2026-08-10,1,unit,https://research.araku.ac.ir/,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
arak:industryTechnology,arak,دانشگاه اراک,جامع,32,industryTechnology,verified,verified,,evidence-confirmed,2026-08-10,1,unit,https://research.araku.ac.ir/,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
arak:informationTechnology,arak,دانشگاه اراک,جامع,32,informationTechnology,observed-reference,verified,Downgraded until a source proving organizational IT dependency is registered.,reference-only,2026-08-10,1,unit,https://research.araku.ac.ir/,Downgraded until a source proving organizational IT dependency is registered.,Unresolved is not absence and is never automatically scored as zero.
arak:systemsServices,arak,دانشگاه اراک,جامع,32,systemsServices,verified,verified,,evidence-confirmed,2026-08-10,1,system,https://research.araku.ac.ir/,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
arak:documentsRegulations,arak,دانشگاه اراک,جامع,32,documentsRegulations,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
azarbaijan-shahid-madani:portalIdentity,azarbaijan-shahid-madani,دانشگاه شهید مدنی آذربایجان,جامع,33,portalIdentity,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,1,portal-identity,https://t.me/asmukarafarini,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
azarbaijan-shahid-madani:organization,azarbaijan-shahid-madani,دانشگاه شهید مدنی آذربایجان,جامع,33,organization,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
azarbaijan-shahid-madani:libraryDocuments,azarbaijan-shahid-madani,دانشگاه شهید مدنی آذربایجان,جامع,33,libraryDocuments,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
azarbaijan-shahid-madani:laboratories,azarbaijan-shahid-madani,دانشگاه شهید مدنی آذربایجان,جامع,33,laboratories,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
azarbaijan-shahid-madani:industryTechnology,azarbaijan-shahid-madani,دانشگاه شهید مدنی آذربایجان,جامع,33,industryTechnology,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
azarbaijan-shahid-madani:informationTechnology,azarbaijan-shahid-madani,دانشگاه شهید مدنی آذربایجان,جامع,33,informationTechnology,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
azarbaijan-shahid-madani:systemsServices,azarbaijan-shahid-madani,دانشگاه شهید مدنی آذربایجان,جامع,33,systemsServices,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
azarbaijan-shahid-madani:documentsRegulations,azarbaijan-shahid-madani,دانشگاه شهید مدنی آذربایجان,جامع,33,documentsRegulations,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
birjand:portalIdentity,birjand,دانشگاه بیرجند,جامع,34,portalIdentity,verified,verified,,evidence-confirmed,2026-08-10,1,portal-identity,https://birjand.ac.ir/research/fa,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
birjand:organization,birjand,دانشگاه بیرجند,جامع,34,organization,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
birjand:libraryDocuments,birjand,دانشگاه بیرجند,جامع,34,libraryDocuments,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
birjand:laboratories,birjand,دانشگاه بیرجند,جامع,34,laboratories,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
birjand:industryTechnology,birjand,دانشگاه بیرجند,جامع,34,industryTechnology,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
birjand:informationTechnology,birjand,دانشگاه بیرجند,جامع,34,informationTechnology,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
birjand:systemsServices,birjand,دانشگاه بیرجند,جامع,34,systemsServices,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
birjand:documentsRegulations,birjand,دانشگاه بیرجند,جامع,34,documentsRegulations,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
vali-asr-rafsanjan:portalIdentity,vali-asr-rafsanjan,دانشگاه ولی عصر (عج) رفسنجان,جامع,35,portalIdentity,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
vali-asr-rafsanjan:organization,vali-asr-rafsanjan,دانشگاه ولی عصر (عج) رفسنجان,جامع,35,organization,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
vali-asr-rafsanjan:libraryDocuments,vali-asr-rafsanjan,دانشگاه ولی عصر (عج) رفسنجان,جامع,35,libraryDocuments,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
vali-asr-rafsanjan:laboratories,vali-asr-rafsanjan,دانشگاه ولی عصر (عج) رفسنجان,جامع,35,laboratories,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
vali-asr-rafsanjan:industryTechnology,vali-asr-rafsanjan,دانشگاه ولی عصر (عج) رفسنجان,جامع,35,industryTechnology,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
vali-asr-rafsanjan:informationTechnology,vali-asr-rafsanjan,دانشگاه ولی عصر (عج) رفسنجان,جامع,35,informationTechnology,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
vali-asr-rafsanjan:systemsServices,vali-asr-rafsanjan,دانشگاه ولی عصر (عج) رفسنجان,جامع,35,systemsServices,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
vali-asr-rafsanjan:documentsRegulations,vali-asr-rafsanjan,دانشگاه ولی عصر (عج) رفسنجان,جامع,35,documentsRegulations,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
lorestan:portalIdentity,lorestan,دانشگاه لرستان,جامع,36,portalIdentity,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
lorestan:organization,lorestan,دانشگاه لرستان,جامع,36,organization,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
lorestan:libraryDocuments,lorestan,دانشگاه لرستان,جامع,36,libraryDocuments,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
lorestan:laboratories,lorestan,دانشگاه لرستان,جامع,36,laboratories,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
lorestan:industryTechnology,lorestan,دانشگاه لرستان,جامع,36,industryTechnology,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
lorestan:informationTechnology,lorestan,دانشگاه لرستان,جامع,36,informationTechnology,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
lorestan:systemsServices,lorestan,دانشگاه لرستان,جامع,36,systemsServices,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
lorestan:documentsRegulations,lorestan,دانشگاه لرستان,جامع,36,documentsRegulations,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
maragheh:portalIdentity,maragheh,دانشگاه مراغه,جامع,37,portalIdentity,observed-reference,observed-reference,,reference-only,2026-08-10,3,portal-identity | portal-identity | portal-identity,https://www.maragheh.ac.ir/fa/article/3289452 | https://www.maragheh.ac.ir/fa/article/3224206 | https://rtm.maragheh.ac.ir/postdoc,"An official public reference was observed, but direct dimension attribution was not established.",Unresolved is not absence and is never automatically scored as zero.
maragheh:organization,maragheh,دانشگاه مراغه,جامع,37,organization,observed-reference,observed-reference,,reference-only,2026-08-10,0,,,"An official public reference was observed, but direct dimension attribution was not established.",Unresolved is not absence and is never automatically scored as zero.
maragheh:libraryDocuments,maragheh,دانشگاه مراغه,جامع,37,libraryDocuments,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
maragheh:laboratories,maragheh,دانشگاه مراغه,جامع,37,laboratories,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
maragheh:industryTechnology,maragheh,دانشگاه مراغه,جامع,37,industryTechnology,observed-reference,observed-reference,,reference-only,2026-08-10,0,,,"An official public reference was observed, but direct dimension attribution was not established.",Unresolved is not absence and is never automatically scored as zero.
maragheh:informationTechnology,maragheh,دانشگاه مراغه,جامع,37,informationTechnology,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
maragheh:systemsServices,maragheh,دانشگاه مراغه,جامع,37,systemsServices,observed-reference,observed-reference,,reference-only,2026-08-10,0,,,"An official public reference was observed, but direct dimension attribution was not established.",Unresolved is not absence and is never automatically scored as zero.
maragheh:documentsRegulations,maragheh,دانشگاه مراغه,جامع,37,documentsRegulations,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
zabol:portalIdentity,zabol,دانشگاه زابل,جامع,38,portalIdentity,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
zabol:organization,zabol,دانشگاه زابل,جامع,38,organization,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
zabol:libraryDocuments,zabol,دانشگاه زابل,جامع,38,libraryDocuments,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
zabol:laboratories,zabol,دانشگاه زابل,جامع,38,laboratories,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
zabol:industryTechnology,zabol,دانشگاه زابل,جامع,38,industryTechnology,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
zabol:informationTechnology,zabol,دانشگاه زابل,جامع,38,informationTechnology,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
zabol:systemsServices,zabol,دانشگاه زابل,جامع,38,systemsServices,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
zabol:documentsRegulations,zabol,دانشگاه زابل,جامع,38,documentsRegulations,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
yasouj:portalIdentity,yasouj,دانشگاه یاسوج,جامع,38,portalIdentity,observed-reference,observed-reference,,reference-only,2026-08-10,1,portal-identity,https://yu.ac.ir/fa/natak/content/2608,"An official public reference was observed, but direct dimension attribution was not established.",Unresolved is not absence and is never automatically scored as zero.
yasouj:organization,yasouj,دانشگاه یاسوج,جامع,38,organization,observed-reference,observed-reference,,reference-only,2026-08-10,0,,,"An official public reference was observed, but direct dimension attribution was not established.",Unresolved is not absence and is never automatically scored as zero.
yasouj:libraryDocuments,yasouj,دانشگاه یاسوج,جامع,38,libraryDocuments,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
yasouj:laboratories,yasouj,دانشگاه یاسوج,جامع,38,laboratories,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
yasouj:industryTechnology,yasouj,دانشگاه یاسوج,جامع,38,industryTechnology,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
yasouj:informationTechnology,yasouj,دانشگاه یاسوج,جامع,38,informationTechnology,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
yasouj:systemsServices,yasouj,دانشگاه یاسوج,جامع,38,systemsServices,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
yasouj:documentsRegulations,yasouj,دانشگاه یاسوج,جامع,38,documentsRegulations,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
damghan:portalIdentity,damghan,دانشگاه دامغان,جامع,40,portalIdentity,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,1,portal-identity,https://t.me/s/duacir/24485,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
damghan:organization,damghan,دانشگاه دامغان,جامع,40,organization,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
damghan:libraryDocuments,damghan,دانشگاه دامغان,جامع,40,libraryDocuments,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
damghan:laboratories,damghan,دانشگاه دامغان,جامع,40,laboratories,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
damghan:industryTechnology,damghan,دانشگاه دامغان,جامع,40,industryTechnology,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
damghan:informationTechnology,damghan,دانشگاه دامغان,جامع,40,informationTechnology,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
damghan:systemsServices,damghan,دانشگاه دامغان,جامع,40,systemsServices,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
damghan:documentsRegulations,damghan,دانشگاه دامغان,جامع,40,documentsRegulations,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
bonab:portalIdentity,bonab,دانشگاه بناب,جامع,41,portalIdentity,verified,verified,,evidence-confirmed,2026-08-10,1,portal-identity,https://research.ubonab.ac.ir/,Dimension-specific evidence is registered on an official public surface.,Unresolved is not absence and is never automatically scored as zero.
bonab:organization,bonab,دانشگاه بناب,جامع,41,organization,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
bonab:libraryDocuments,bonab,دانشگاه بناب,جامع,41,libraryDocuments,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
bonab:laboratories,bonab,دانشگاه بناب,جامع,41,laboratories,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
bonab:industryTechnology,bonab,دانشگاه بناب,جامع,41,industryTechnology,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
bonab:informationTechnology,bonab,دانشگاه بناب,جامع,41,informationTechnology,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
bonab:systemsServices,bonab,دانشگاه بناب,جامع,41,systemsServices,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
bonab:documentsRegulations,bonab,دانشگاه بناب,جامع,41,documentsRegulations,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
golestan:portalIdentity,golestan,دانشگاه گلستان,جامع,42,portalIdentity,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,1,portal-identity,https://t.me/s/Guresearch,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
golestan:organization,golestan,دانشگاه گلستان,جامع,42,organization,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
golestan:libraryDocuments,golestan,دانشگاه گلستان,جامع,42,libraryDocuments,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
golestan:laboratories,golestan,دانشگاه گلستان,جامع,42,laboratories,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
golestan:industryTechnology,golestan,دانشگاه گلستان,جامع,42,industryTechnology,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
golestan:informationTechnology,golestan,دانشگاه گلستان,جامع,42,informationTechnology,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
golestan:systemsServices,golestan,دانشگاه گلستان,جامع,42,systemsServices,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
golestan:documentsRegulations,golestan,دانشگاه گلستان,جامع,42,documentsRegulations,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
hormozgan:portalIdentity,hormozgan,دانشگاه هرمزگان,جامع,42,portalIdentity,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
hormozgan:organization,hormozgan,دانشگاه هرمزگان,جامع,42,organization,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
hormozgan:libraryDocuments,hormozgan,دانشگاه هرمزگان,جامع,42,libraryDocuments,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
hormozgan:laboratories,hormozgan,دانشگاه هرمزگان,جامع,42,laboratories,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
hormozgan:industryTechnology,hormozgan,دانشگاه هرمزگان,جامع,42,industryTechnology,unresolved,unresolved,,no-public-evidence-resolved,2026-08-10,0,,,No sufficient public evidence was resolved in this snapshot; this is not proof of absence.,Unresolved is not absence and is never automatically scored as zero.
